Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
standard,https://github.com/standard/standard,26208,2123,475,FALSE,,1,451,162,16,0,8,MIT,1694,79,0
grunt-contrib-nodeunit,https://github.com/gruntjs/grunt-contrib-nodeunit,66,27,7,FALSE,,1,143,5,6,7,1,MIT,66,6,0
sinon-chai,https://github.com/domenic/sinon-chai,1066,107,17,FALSE,,2,412,34,2,1,0,(BSD-2-Clause OR WTFPL),153,15,0
jquery,https://github.com/jquery/jquery,55600,20179,3315,FALSE,,2,14662,359,4,0,0,MIT,4873,84,0
yeoman-generator,https://github.com/yeoman/generator,1047,296,50,FALSE,0.94,3,11499,52,10,0,12,BSD-2-Clause,1308,3,0
babel-register,https://github.com/babel/babel,37284,4433,867,FALSE,0.91,3,1721,39,4,0,7,MIT,11888,795,0
minimist,https://github.com/substack/minimist,4932,264,53,FALSE,,0,15721,435,2,0,0,MIT,160,72,0
del,https://github.com/sindresorhus/del,1200,60,20,FALSE,,2,3853,281,1,0,8,MIT,133,14,0
jshint-stylish,https://github.com/sindresorhus/jshint-stylish,564,51,20,FALSE,,3,272,73,1,0,6,MIT,40,0,0
grunt-cli,https://github.com/gruntjs/grunt-cli,711,259,53,FALSE,,1,471,318,4,21,5,MIT,143,18,0
fs-extra,https://github.com/jprichardson/node-fs-extra,8022,720,89,FALSE,0.83,1,38385,424,3,0,3,MIT,919,20,0
body-parser,https://github.com/expressjs/body-parser,4953,631,100,FALSE,1,1,14967,615,1,2,10,MIT,443,26,0
karma-chrome-launcher,https://github.com/karma-runner/karma-chrome-launcher,444,119,13,FALSE,,1,577,23,4,35,1,MIT,232,52,0
ava,https://github.com/avajs/ava,19377,1394,235,FALSE,0.94,2,333,104,2,0,56,MIT,2780,69,0
karma-phantomjs-launcher,https://github.com/karma-runner/karma-phantomjs-launcher,283,126,19,FALSE,,1,344,32,4,23,2,MIT,216,111,0
webpack-dev-server,https://github.com/webpack/webpack-dev-server,7218,1331,120,FALSE,0.93,3,8518,131,4,0,25,MIT,3992,40,0
css-loader,https://github.com/webpack-contrib/css-loader,4062,4062,592,FALSE,0.97,3,11985,101,3,0,8,MIT,,17,0
eslint-config-airbnb,https://github.com/airbnb/javascript,116900,22287,3860,FALSE,,2,2896,192,6,3,3,MIT,2455,134,0
yargs,https://github.com/yargs/yargs,9338,925,79,FALSE,,1,22509,516,2,1,7,MIT,2058,285,0
load-grunt-tasks,https://github.com/sindresorhus/load-grunt-tasks,950,62,18,FALSE,,2,237,67,1,0,4,MIT,63,1,0
expect.js,https://github.com/LearnBoost/expect.js,2087,218,164,FALSE,,0,181,23,1,0,0,,168,86,0
babel-runtime,https://github.com/babel/babel,38324,4668,858,FALSE,0.92,2,11036,23,4,0,2,MIT,12528,756,0
cheerio,https://github.com/cheeriojs/cheerio,24539,1502,376,FALSE,1,2,11209,624,4,0,7,MIT,2207,16,0
gulp-jshint,https://github.com/spalger/gulp-jshint,426,73,10,FALSE,,1,464,189,3,2,5,MIT,161,15,0
gulp-babel,https://github.com/babel/gulp-babel,1317,126,32,FALSE,,2,1494,156,7,1,4,MIT,215,28,0
eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,3665,1206,34,FALSE,0.95,2,10280,48,3,0,13,MIT,2266,434,0
supertest,https://github.com/visionmedia/supertest,11396,718,113,FALSE,0.97,2,618,276,7,1,2,MIT,736,147,0
style-loader,https://github.com/webpack-contrib/style-loader,1555,462,32,FALSE,0.9,3,10740,99,3,0,0,MIT,544,9,0
gulp-concat,https://github.com/contra/gulp-concat,789,135,15,FALSE,,1,1617,448,2,0,3,MIT,154,13,0
